street_address,city,state
6324 Fairview Road,Charlotte,NC
120 West Ramapo Road,Mount Ivy,NY
7201 Lake Worth Road,Lake Worth,FL
912 Gorham Street,Lowell,MA
800 West Market Street,Louisville,KY
3400 US Highway 98 North,Lakeland,FL
3137 Commodore Plaza,Miami,FL
114 South Olive Avenue,West Palm Beach,FL
2323 Main Street,Cedar Falls,IA
139 Carondelet Street,New Orleans,LA
39 South York Road,Hatboro,PA
149 New Montgomery Street,San Francisco,CA
2027 Florida 7,Davie,FL
3121 West Olympic Boulevard,Los Angeles,CA
4616 West 103rd Street,Oak Lawn,IL
226 Gap Road,Strasburg,PA
4671 Trousdale Drive,Nashville,TN
2704 Hartnell Avenue,Redding,CA
2020 Fieldstone Parkway,Franklin,TN
7777 Girard Avenue,San Diego,CA
2256 East Route 66,Glendora,CA
795 Woodlake Road,Kohler,WI
1 Heritage Hills Drive,Heritage Hills,NY
9515 Riverbend Village Drive,Charlotte,NC
324 U.S. 377,Roanoke,TX
3939 Interstate 35 Frontage Road,San Marcos,TX
3525 North Causeway Boulevard,Metairie,LA
11301 Westport Road,Louisville,KY
6139 Haggerty Road,West Bloomfield Township,MI
315 South 1st Street,San Jose,CA
33 Main Street,Woodbridge Township,NJ
2706 South Greeley Highway,Cheyenne,WY
920 Studemont Street,Houston,TX
12333 Prairie Avenue,Hawthorne,CA
4120 Little Road,New Port Richey,FL
12150 Ramona Avenue,Chino,CA
6500 South Cottage Grove Avenue,Chicago,IL
408 Southwest 16th Street,Ocala,FL
